n,p,char_len
7,0.0008760951188986233,4
7,0.0008760951188986233,7
7,0.0008760951188986233,4
7,0.0008760951188986233,10
7,0.0008760951188986233,2
7,0.0008760951188986233,5
7,0.0008760951188986233,5
7,0.0008760951188986233,2
7,0.0008760951188986233,3
7,0.0008760951188986233,2
7,0.0008760951188986233,2
7,0.0008760951188986233,7
7,0.0008760951188986233,4
7,0.0008760951188986233,5
7,0.0008760951188986233,4
7,0.0008760951188986233,7
7,0.0008760951188986233,3
7,0.0008760951188986233,4
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,4
6,0.000750938673341677,7
6,0.000750938673341677,5
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,3
6,0.000750938673341677,5
6,0.000750938673341677,3
6,0.000750938673341677,7
6,0.000750938673341677,3
6,0.000750938673341677,7
6,0.000750938673341677,6
6,0.000750938673341677,3
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,5
6,0.000750938673341677,3
6,0.000750938673341677,4
6,0.000750938673341677,4
6,0.000750938673341677,2
6,0.000750938673341677,5
6,0.000750938673341677,3
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,4
6,0.000750938673341677,7
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,4
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,4
6,0.000750938673341677,4
6,0.000750938673341677,6
5,0.0006257822277847309,3
5,0.0006257822277847309,7
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,6
5,0.0006257822277847309,6
5,0.0006257822277847309,5
5,0.0006257822277847309,2
5,0.0006257822277847309,12
5,0.0006257822277847309,5
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,5
5,0.0006257822277847309,6
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,3
5,0.0006257822277847309,7
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,3
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,5
