term_str,n,p,char_len
world,18,0.0022528160200250315,5
'Baby,18,0.0022528160200250315,5
need,18,0.0022528160200250315,4
sexy,17,0.002127659574468085,4
'So,17,0.002127659574468085,3
break,17,0.002127659574468085,5
it's,17,0.002127659574468085,4
baby,17,0.002127659574468085,4
her,17,0.002127659574468085,3
i,17,0.002127659574468085,1
do,17,0.002127659574468085,2
them,16,0.002002503128911139,4
Bump,16,0.002002503128911139,4
Show,16,0.002002503128911139,4
it',16,0.002002503128911139,3
love's,16,0.002002503128911139,6
supposed,16,0.002002503128911139,8
you're,15,0.0018773466833541927,6
fake,15,0.0018773466833541927,4
out,15,0.0018773466833541927,3
its,14,0.0017521902377972466,3
mami',14,0.0017521902377972466,5
right,14,0.0017521902377972466,5
'She,14,0.0017521902377972466,4
rise,14,0.0017521902377972466,4
should,14,0.0017521902377972466,6
stop,14,0.0017521902377972466,4
can't,14,0.0017521902377972466,5
said,13,0.0016270337922403004,4
on',13,0.0016270337922403004,3
his,13,0.0016270337922403004,3
but,13,0.0016270337922403004,3
away),12,0.001501877346683354,5
'Girl,12,0.001501877346683354,5
'But,12,0.001501877346683354,4
(So,12,0.001501877346683354,3
back!,12,0.001501877346683354,5
'Shake,12,0.001501877346683354,6
by,12,0.001501877346683354,2
feel,12,0.001501877346683354,4
chola,12,0.001501877346683354,5
vengo,12,0.001501877346683354,5
'Ahora,12,0.001501877346683354,6
man,12,0.001501877346683354,3
butt,12,0.001501877346683354,4
they,12,0.001501877346683354,4
over,12,0.001501877346683354,4
thing,12,0.001501877346683354,5
Oh,12,0.001501877346683354,2
was,11,0.001376720901126408,3
call,11,0.001376720901126408,4
heart,11,0.001376720901126408,5
'em,11,0.001376720901126408,3
he,11,0.001376720901126408,2
ladies,11,0.001376720901126408,6
Girl,11,0.001376720901126408,4
down,11,0.001376720901126408,4
you),10,0.0012515644555694619,4
But,10,0.0012515644555694619,3
(Look,10,0.0012515644555694619,5
that),10,0.0012515644555694619,5
Well,10,0.0012515644555694619,4
round,10,0.0012515644555694619,5
well),10,0.0012515644555694619,5
world',10,0.0012515644555694619,6
that',10,0.0012515644555694619,5
say,10,0.0012515644555694619,3
high,10,0.0012515644555694619,4
Make,10,0.0012515644555694619,4
knows,10,0.0012515644555694619,5
we,10,0.0012515644555694619,2
In,10,0.0012515644555694619,2
Yeah,10,0.0012515644555694619,4
Earl',9,0.0011264080100125157,5
been,9,0.0011264080100125157,4
gotta,9,0.0011264080100125157,5
that's,9,0.0011264080100125157,6
early,9,0.0011264080100125157,5
another,9,0.0011264080100125157,7
hit,9,0.0011264080100125157,3
I'd,9,0.0011264080100125157,3
will,9,0.0011264080100125157,4
(Are,9,0.0011264080100125157,4
there,9,0.0011264080100125157,5
woman,8,0.0010012515644555694,5
have,8,0.0010012515644555694,4
club,8,0.0010012515644555694,4
Lets,8,0.0010012515644555694,4
'Bump,8,0.0010012515644555694,5
Carlos,8,0.0010012515644555694,6
That's,8,0.0010012515644555694,6
need',8,0.0010012515644555694,5
'Yo,8,0.0010012515644555694,3
selection,8,0.0010012515644555694,9
body,8,0.0010012515644555694,4
'Duke,8,0.0010012515644555694,5
him,8,0.0010012515644555694,3
ride,8,0.0010012515644555694,4
an,8,0.0010012515644555694,2
party,8,0.0010012515644555694,5
Want,8,0.0010012515644555694,4
you'll,8,0.0010012515644555694,6
Jets,8,0.0010012515644555694,4
ever,8,0.0010012515644555694,4
understands,8,0.0010012515644555694,11
Them,8,0.0010012515644555694,4
yeah,8,0.0010012515644555694,4
'Let,7,0.0008760951188986233,4
mmm-mmm,7,0.0008760951188986233,7
Only,7,0.0008760951188986233,4
definitely,7,0.0008760951188986233,10
So,7,0.0008760951188986233,2
'That,7,0.0008760951188986233,5
She's,7,0.0008760951188986233,5
To,7,0.0008760951188986233,2
set,7,0.0008760951188986233,3
if,7,0.0008760951188986233,2
as,7,0.0008760951188986233,2
through,7,0.0008760951188986233,7
face,7,0.0008760951188986233,4
Ain't,7,0.0008760951188986233,5
tell,7,0.0008760951188986233,4
they're,7,0.0008760951188986233,7
(uh,7,0.0008760951188986233,3
you',7,0.0008760951188986233,4
bling,6,0.000750938673341677,5
chola',6,0.000750938673341677,6
spot,6,0.000750938673341677,4
getting,6,0.000750938673341677,7
bump',6,0.000750938673341677,5
pull,6,0.000750938673341677,4
Jets',6,0.000750938673341677,5
well)',6,0.000750938673341677,6
'Make,6,0.000750938673341677,5
booty),6,0.000750938673341677,6
be?,6,0.000750938673341677,3
yeah',6,0.000750938673341677,5
wit,6,0.000750938673341677,3
(Yeah!),6,0.000750938673341677,7
(LA,6,0.000750938673341677,3
Oakland,6,0.000750938673341677,7
coming,6,0.000750938673341677,6
'We,6,0.000750938673341677,3
home,6,0.000750938673341677,4
(back,6,0.000750938673341677,5
You're,6,0.000750938673341677,6
